Calendar Year,County,Number of Retail Locations,Non-Ethanol Gasoline Sales (in gallons),Ethanol Gasoline Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Clear and Dyed Biodiesel Sales (in gallons),Pure Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2013,Scott,12.0,950512,3581209,3370857,1049711.0,0.0,8.33
2013,Shelby,32.0,3981209,9648588,9520967,830465.0,0.0,15.7
2013,Sioux,45.0,7148134,31708015,3108582,2695208.0,0.0,9.74
2013,Story,17.0,1252524,5563047,3918235,34698.0,0.0,7.82
2013,Tama,12.0,815784,4810256,1125040,252071.0,0.0,9.36
2013,Union,10.0,462619,2326540,782235,110677.0,0.0,9.06
2013,Van Buren,29.0,3020441,14290037,1431993,3541713.0,0.0,8.97
2013,Wapello,25.0,2811529,19740011,1106573,1220821.0,0.0,8.54
2013,Warren,24.0,2280378,10359864,4425026,8591169.0,0.0,10.37
2013,Washington,7.0,332919,1924253,79602,720010.0,0.0,9.66
2013,Wayne,28.0,2331310,16085328,3555439,123917.0,0.0,14.57
2013,Webster,17.0,868633,4512454,2350080,47870.0,0.0,10.12
2013,Winnebago,18.0,1888095,7962446,5481466,9808.0,0.0,9.16
2013,Winneshiek,62.0,10877551,37679386,7677269,16770573.0,0.0,9.02
2013,Woodbury,8.0,1465477,3633011,537016,318276.0,0.0,8.09
2013,Worth,21.0,1149709,4831891,2893757,169966.0,0.0,11.09
2013,Wright,8.0,469897,2768832,755776,0.0,0.0,7.48
2014,Adair,11.0,1498410,7153133,1321561,432515.0,0.0,10.24
2014,Allamakee,16.0,1322461,6096143,1007143,581356.0,0.0,8.68
2014,Appanoose,14.0,389801,4504969,1471576,396831.0,0.0,9.79
2014,Audubon,7.0,211272,2251831,1804137,477334.0,0.0,10.15
2014,Benton,17.0,1096102,7993274,2399618,125858.0,0.0,9.0
2014,Black Hawk,62.0,9074884,46272539,6649975,17284847.0,0.0,11.84
2014,Boone,14.0,1193860,9107604,1900618,333389.0,0.0,9.07
2014,Bremer,13.0,2262557,9093542,2283837,38062.0,0.0,7.02
2014,Buchanan,18.0,1368303,7718064,2414267,172974.0,0.0,8.59
2014,Buena Vista,26.0,1179545,10265077,6308029,0.0,0.0,9.73
2014,Butler,13.0,749377,4405617,486123,1169292.0,0.0,9.12
2014,Calhoun,15.0,384323,3969251,2535128,0.0,0.0,9.79
2014,Carroll,29.0,1764296,9192933,9614854,328098.0,0.0,9.41
2014,Cass,17.0,913270,7872401,4423588,209332.0,0.0,9.52
2014,Cedar,18.0,1528116,8791090,4362994,12898052.0,0.0,20.13
2014,Cerro Gordo,28.0,4347752,22000207,1808321,16496314.0,0.0,15.68
2014,Cherokee,14.0,655089,4490381,2316384,352231.0,0.0,9.96
2014,Chickasaw,12.0,1331510,5668456,3056476,2088216.0,0.0,11.14
2014,Clarke,9.0,1108077,5968259,1062938,8384848.0,0.0,20.7
2014,Clay,23.0,1263809,6318132,4404199,63526.0,0.0,9.38
2014,Clayton,24.0,1447824,7777262,1630326,260101.0,0.0,8.65
2014,Clinton,30.0,2318379,20213142,8300150,713020.0,0.0,9.67
2014,Crawford,15.0,1359812,6862022,6583810,15848.0,0.0,9.55
2014,Dallas,31.0,5953085,32110286,3990590,3701973.0,0.0,9.6
2014,Decatur,7.0,652485,2774250,807698,173042.0,0.0,9.77
2014,Delaware,15.0,923804,7284529,2291045,1073247.0,0.0,10.08
2014,Des Moines,20.0,3122262,13370454,1921214,0.0,0.0,7.99
2014,Dickinson,24.0,2236414,7790336,2352997,73936.0,0.0,8.55
2014,Dubuque,66.0,15161915,83300705,13574401,20460061.0,0.0,9.78
2014,Emmet,9.0,540794,3833687,1192329,1153940.0,0.0,10.88
2014,Fayette,20.0,1534546,7215758,17445237,79941.0,0.0,8.74
2014,Floyd,15.0,1258966,5865627,3948103,210968.0,0.0,9.0
2014,Franklin,14.0,601746,5164500,2741387,1316656.0,0.0,10.59
2014,Fremont,9.0,1538424,6407869,5598653,10905457.0,0.0,23.97
2014,Greene,11.0,516582,3794825,1410312,76196.0,0.0,9.49
2014,Grundy,12.0,722462,5755981,3610481,2077390.0,0.0,10.72
2014,Guthrie,11.0,409181,4562162,1058652,8723861.0,0.0,23.99
2014,Hamilton,8.0,880191,5065447,502665,3017805.0,0.0,12.67
2014,Hancock,11.0,636572,3391038,4008132,51677.0,0.0,9.4
2014,Hardin,19.0,906990,6758064,1875581,755987.0,0.0,9.33
2014,Harrison,17.0,700365,6895501,3737596,9569.0,0.0,9.79
2014,Henry,18.0,1104543,10983244,1119923,1786031.0,0.0,11.28
2014,Howard,10.0,529036,3701477,2328286,545491.0,0.0,9.57
2014,Humboldt,15.0,650408,4140377,5182877,199081.0,0.0,9.68
2014,Ida,11.0,753721,2671331,2296151,24700.0,0.0,9.78
2014,Iowa,17.0,1685810,8245502,3638767,703936.0,0.0,9.1
2014,Jackson,20.0,1155313,7537085,4804413,47965.0,0.0,9.15
2014,Jasper,25.0,2090382,16161763,4937367,14474553.0,0.0,21.43
2014,Jefferson,17.0,965426,5366263,1340769,872770.0,0.0,10.97
2014,Johnson,59.0,7256034,42120533,5491589,5996647.0,0.0,10.0
2014,Jones,13.0,1015306,7613913,2451459,625510.0,0.0,9.19
2014,Keokuk,12.0,479984,4074623,1490958,1244936.0,0.0,12.27
2014,Kossuth,19.0,831912,7348765,9969709,623538.0,0.0,10.34
2014,Lee,25.0,2211605,14172050,4983207,750052.0,0.0,8.91
2014,Linn,87.0,12034833,82057462,10082793,5465565.0,0.0,9.99
2014,Louisa,8.0,498196,3927182,907161,1500.0,0.0,9.59
2014,Lucas,7.0,386742,2792741,0,2954842.0,0.0,14.02
2014,Lyon,14.0,1057317,5736378,2973901,28161.0,0.0,9.08
2014,Madison,11.0,1085956,7451061,6963751,937871.0,0.0,10.29
2014,Mahaska,17.0,881781,9360011,4103878,1674268.0,0.0,10.87
2014,Marion,23.0,1286777,13030314,3883494,45098.0,0.0,9.5
2014,Marshall,23.0,2339616,11938211,0,1433929.0,0.0,8.85
2014,Mills,10.0,545640,5153586,2747781,176714.0,0.0,9.3
2014,Mitchell,10.0,641835,3402518,296170,196725.0,0.0,10.22
2014,Monona,11.0,1461969,5194939,3866940,1443066.0,0.0,11.41
2014,Monroe,6.0,345779,3196583,251083,0.0,0.0,9.02
2014,Montgomery,7.0,528213,3031375,915801,0.0,0.0,8.69
2014,Muscatine,22.0,2474144,13732211,3020067,557706.0,0.0,9.63
2014,OBrien,19.0,988379,6017423,2936478,162858.0,0.0,9.61
2014,Osceola,7.0,225202,2320250,2684273,33491.0,0.0,10.04
2014,Other,6.0,414135,2859966,403002,0.0,0.0,0.0
2014,Page,9.0,569651,5687711,654355,528614.0,0.0,9.82
2014,Palo Alto,11.0,402304,4138723,3102539,0.0,0.0,10.23
2014,Plymouth,23.0,2227743,8906007,5019694,23614.0,0.0,7.99
2014,Pocahontas,9.0,314398,2497266,6045005,13897.0,0.0,8.91
2014,Polk,185.0,38839714,172243978,24225407,65283768.0,0.0,11.83
2014,Pottawattamie,62.0,6198152,54070245,9297117,24749878.0,0.0,13.64
2014,Poweshiek,17.0,1644167,9920533,7021709,15801977.0,0.0,23.35
2014,Ringgold,6.0,170993,1316181,1542837,78906.0,0.0,9.55
2014,Sac,17.0,605237,4680871,2365506,0.0,0.0,8.86
2014,Scott,80.0,5103629,84949581,8392065,53031793.0,0.0,16.22
2014,Shelby,13.0,589550,4234769,3525076,1156654.0,0.0,10.77
2014,Sioux,32.0,2654555,10144522,10908799,728436.0,0.0,8.45
2014,Story,43.0,5690612,33401636,4200299,2914491.0,0.0,9.83
2014,Tama,15.0,748602,7646450,2162486,29993.0,0.0,9.22
2014,Taylor,7.0,117813,2060240,652525,0.0,0.0,10.23
2014,Union,11.0,655840,4912306,994580,387661.0,0.0,9.65
2014,Van Buren,8.0,263791,2310183,750257,83592.0,0.0,9.14
2014,Wapello,27.0,2091158,15126339,-801913,3887157.0,0.0,11.3
2014,Warren,25.0,2619897,19196877,1536120,1006207.0,0.0,9.97
2014,Washington,25.0,1652781,12043839,5139207,8512326.0,0.0,15.95
2014,Wayne,7.0,228303,1934472,338587,577248.0,0.0,10.28
2014,Webster,28.0,1571849,15399044,4276273,105092.0,0.0,9.64
2014,Winnebago,18.0,687690,4729297,2339227,102902.0,0.0,10.23
2014,Winneshiek,17.0,1608062,7442880,3358248,4233.0,0.0,7.22
2014,Woodbury,50.0,8154512,37682679,12717794,15493480.0,0.0,12.73
2014,Worth,10.0,1994348,3254648,501566,457575.0,0.0,6.87
2014,Wright,20.0,855439,5093199,3686045,100681.0,0.0,8.91
2015,Adair,17.0,1343499,6099959,5367840,244533.0,0.0,9.62
2015,Allamakee,15.0,654927,4868178,2356279,403749.0,0.0,8.38
2015,Appanoose,7.0,188819,1770154,1735839,375979.0,0.0,9.35
2015,Audubon,23.0,1222760,9105211,3529864,171230.0,0.0,11.18
2015,Benton,67.0,9296676,47990028,8041775,14510649.0,0.0,10.03
2015,Black Hawk,14.0,1260377,9259121,2084018,332672.0,0.0,11.75
2015,Boone,15.0,2158638,9677843,2720216,26776.0,0.0,9.09
2015,Bremer,17.0,1276589,8019066,1928789,86804.0,0.0,8.19
2015,Buchanan,23.0,1155246,8409080,1866166,112875.0,0.0,8.7
2015,Buena Vista,13.0,1280217,5992834,1388082,882832.0,0.0,9.54
2015,Butler,15.0,345522,4136925,4183238,0.0,0.0,9.27
2015,Calhoun,27.0,1698945,9320092,10372523,224401.0,0.0,10.6
2015,Carroll,17.0,919650,8229840,4301266,272140.0,0.0,9.42
2015,Cass,22.0,1863900,9659187,7406226,12494605.0,0.0,9.6
2015,Cedar,28.0,5324371,27580803,6181862,15527150.0,0.0,21.02
2015,Cerro Gordo,16.0,775277,4505298,1956726,553848.0,0.0,14.68
2015,Cherokee,14.0,1386687,5889505,5303527,2828308.0,0.0,9.75
2015,Chickasaw,10.0,1270411,6451369,2513288,7775165.0,0.0,12.1
2015,Clarke,23.0,1158533,7568489,6028951,92661.0,0.0,22.09
2015,Clay,23.0,1586749,8835365,2732125,213232.0,0.0,10.26
2015,Clayton,29.0,2309804,18735435,8054892,1403323.0,0.0,9.24
2015,Clinton,14.0,1055809,5981113,4119098,122001.0,0.0,9.74
2015,Crawford,36.0,6677977,33975045,4941108,5521460.0,0.0,10.01
2015,Dallas,7.0,230114,2205655,1321005,436173.0,0.0,9.81
2015,Davis,8.0,691485,2799583,580339,196698.0,0.0,10.03
2015,Decatur,15.0,882038,7050094,2429338,498443.0,0.0,9.71
2015,Delaware,23.0,3258815,13967064,1507643,0.0,0.0,9.9
2015,Des Moines,27.0,2133252,8196639,2764982,109544.0,0.0,8.11
2015,Dickinson,69.0,14138283,84889429,21012050,14488623.0,0.0,8.67
2015,Dubuque,10.0,512902,3779562,1556450,1228191.0,0.0,9.57
2015,Emmet,24.0,1984946,9661786,3382010,128607.0,0.0,11.4
2015,Fayette,12.0,613464,4063381,2809318,1375098.0,0.0,8.73
2015,Floyd,14.0,618633,5594049,4776813,466432.0,0.0,10.52
2015,Franklin,9.0,675524,7181090,6585028,11220589.0,0.0,10.16
2015,Fremont,13.0,300113,4256089,3146725,80187.0,0.0,27.55
2015,Greene,14.0,780649,6493076,6358536,1992512.0,0.0,9.51
2015,Grundy,14.0,572443,4547056,1410663,8414075.0,0.0,10.59
2015,Guthrie,17.0,1172700,7496241,4299226,2988740.0,0.0,29.97
2015,Hamilton,14.0,626172,4196090,4212385,173899.0,0.0,12.42
2015,Hancock,21.0,801974,6793313,5914902,450294.0,0.0,9.65
2015,Hardin,20.0,854634,7220530,4395714,110695.0,0.0,9.41
2015,Harrison,21.0,1286049,14917428,2846166,7548818.0,0.0,9.59
2015,Henry,12.0,535457,3659055,2599056,539430.0,0.0,15.11
2015,Howard,13.0,646865,3816264,3870344,182533.0,0.0,11.06
2015,Humboldt,11.0,443887,3017209,1853660,423445.0,0.0,9.91
2015,Ida,49.0,3150153,16781250,11760360,2186303.0,0.0,10.91
2015,Iowa,21.0,1350171,8086875,4943825,24280.0,0.0,9.45
2015,Jackson,29.0,2294757,16699034,9625634,11096621.0,0.0,9.04
2015,Jasper,15.0,995063,5200087,1788782,930517.0,0.0,16.97
2015,Jefferson,61.0,7771791,42345358,6304157,5559199.0,0.0,11.25
2015,Johnson,14.0,1007492,7769995,3508695,0.0,0.0,10.09
2015,Jones,12.0,546722,3694492,1585337,1201706.0,0.0,9.32
2015,Keokuk,18.0,1065931,6868662,10442957,91229.0,0.0,12.54
2015,Kossuth,27.0,2267764,13979176,3052459,1270369.0,0.0,9.61
2015,Lee,94.0,14292357,81533170,16947137,4959239.0,0.0,9.88
2015,Linn,10.0,549581,4052669,1048172,902580.0,0.0,9.85
2015,Louisa,8.0,539769,2633718,463636,3326195.0,0.0,10.79
2015,Lucas,17.0,1023345,5640793,3596736,231728.0,0.0,14.41
2015,Lyon,11.0,1004433,6993944,7202281,1301006.0,0.0,9.28
2015,Madison,16.0,942704,9118084,2200401,1675990.0,0.0,10.81
2015,Mahaska,23.0,2055283,13797156,3878327,564912.0,0.0,10.4
2015,Marion,23.0,2572210,13084803,4110168,1352155.0,0.0,10.01
2015,Marshall,11.0,547598,5101765,2391948,447673.0,0.0,8.98
2015,Mills,10.0,610593,3361419,425320,277808.0,0.0,9.76
2015,Mitchell,16.0,1019179,5367719,4111089,1998206.0,0.0,11.03
2015,Monona,9.0,742506,4159570,3592387,0.0,0.0,12.69
2015,Montgomery,20.0,2401447,13075548,1972696,575617.0,0.0,9.2
2015,Muscatine,22.0,1002609,6340366,3708138,322856.0,0.0,10.24
2015,OBrien,7.0,557955,1996610,2429958,34399.0,0.0,9.61
2015,Osceola,6.0,600228,4460994,1063694,0.0,0.0,7.98
2015,Page,11.0,686165,5620109,1545383,714998.0,0.0,9.98
2015,Palo Alto,12.0,428242,4138871,3832152,127315.0,0.0,10.71
2015,Plymouth,20.0,2272328,9612838,15247465,1099249.0,0.0,8.72
2015,Pocahontas,9.0,311744,2788507,6892881,16506.0,0.0,9.25
2015,Polk,184.0,37875255,179477319,34445509,43595531.0,0.0,11.51
2015,Pottawattamie,71.0,7140785,58585756,25063883,42644651.0,0.0,17.31
2015,Poweshiek,20.0,2132103,15110332,9561529,24182555.0,0.0,27.22
2015,Ringgold,5.0,127911,847834,372387,199962.0,0.0,12.6
